"modus_und_geschwindigkeit","schlechte_erreichbarkeit","mittlere_erreichbarkeit","gute_erreichbarkeit"
" Kind - Fahrrad 9kmh","6849","24574","197616"
"Kind - Fahrrad 10kmh","5348","17902","205789"
"Kind - Fahrrad 11kmh","4312","13176","211551"
"Kind - Gehen 3.53kmh","64167","127834","37038"
"Kind - Gehen 4.64kmh","30518","111178","87343"
"Kind - Gehen 5.98kmh","15880","71930","141229"
"Kind - OPNV 3.53kmh","34388","93284","101367"
"Kind - OPNV 4.64kmh","16890","64583","147566"
"Kind - OPNV 5.98kmh","9980","36702","182357"
"Student - Fahrrad 11.02kmh","3968","20626","204445"
"Student - Fahrrad 15.08kmh","1033","13643","214363"
"Student - Fahrrad 20.99kmh","38","8777","220224"
"Student - Gehen 3.89kmh","45810","107386","75843"
"Student - Gehen 5.22kmh","22275","85114","121650"
"Student - Gehen 6.84kmh","10786","56436","161817"
"Student - OPNV 3.89kmh","23103","66083","139853"
"Student - OPNV 5.22kmh","10834","44770","173435"
"Student - OPNV 6.84kmh","4601","29278","195160"
